date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-07-31 08:41:10,OfficialNDCGh,,3,25,191,"Happy Eid-ul-Adhapic.twitter.com/yHohtyAKYx",,,,1289118898739130368,https://twitter.com/OfficialNDCGh/status/1289118898739130368
2020-07-30 06:58:50,OfficialNDCGh,,9,72,530,"Big English and eloquent lies have never been counted as legacies. ~ Isaac Adongo, MP",,,,1288730756156661760,https://twitter.com/OfficialNDCGh/status/1288730756156661760
2020-07-28 11:59:44,OfficialNDCGh,,11,47,360,"#JMandJane2020pic.twitter.com/zcbEsQFUcB",,,#JMandJane2020pic,1288081704322830336,https://twitter.com/OfficialNDCGh/status/1288081704322830336
2020-07-26 09:29:13,OfficialNDCGh,,7,40,412,"@JDMahama and @NJOAgyemang remembering Asomdehene (the King of Peace) Prof. John Atta Millspic.twitter.com/eQAhhV1xlt",,@JDMahama @NJOAgyemang,,1287319050306170881,https://twitter.com/OfficialNDCGh/status/1287319050306170881
2020-07-25 22:06:59,OfficialNDCGh,,8,41,378,"#JMandJane2020 #InclusionMatterspic.twitter.com/9bjaZpS0TB",,,#JMandJane2020 #InclusionMatterspic,1287147362687778823,https://twitter.com/OfficialNDCGh/status/1287147362687778823
2020-07-25 12:40:53,OfficialNDCGh,,10,79,410,"Our flagbearer John Mahama . @JDMahama is set to outdoor his Running Mate for election 2020, Prof. Naana Jane Opoku-Agyemang . @NJOAgyemang on Mondaypic.twitter.com/6WLfJwEiZx",,@JDMahama @NJOAgyemang,,1287004897062289408,https://twitter.com/OfficialNDCGh/status/1287004897062289408
2020-07-24 08:51:56,OfficialNDCGh,,31,113,872,"On this day, we fondly remember Prof. J. E.A. Mills, President of the Republic of Ghana [2009 - July, 2012]. He was a man of peace. Prof. Mills, may your gentle soul continue to rest peacefully in the bosom of your Maker.pic.twitter.com/QKAoojPS71",,,,1286584894014083072,https://twitter.com/OfficialNDCGh/status/1286584894014083072
2020-07-23 17:30:13,OfficialNDCGh,,6,50,371,"Rest well Prof.pic.twitter.com/pGn30rTEGc",,,,1286352936017297410,https://twitter.com/OfficialNDCGh/status/1286352936017297410
2020-07-21 09:33:57,OfficialNDCGh,,8,33,322,"President John Mahama @JDMahama eulogises his mentor and friendhttps://www.johnmahama.org/news/eulogizing-prof-mills-on-his-birthday …",,@JDMahama,,1285508303032918017,https://twitter.com/OfficialNDCGh/status/1285508303032918017
2020-07-21 07:29:39,OfficialNDCGh,,56,252,1701,"On this day, we remember Asomdwehene Prof. John Atta Mills, President of the Republic of Ghana [2009 - July, 2012]. He was truly a man of peace.pic.twitter.com/LmrIeGxNh9",,,,1285477019086721031,https://twitter.com/OfficialNDCGh/status/1285477019086721031
2020-07-20 08:22:00,OfficialNDCGh,,9,42,377,"Our flagbearer, Mr John Mahama, . @JDMahama wishes SHS finalists well in their examshttps://www.johnmahama.org/news/john-mahama-wishes-shs-candidatures-success-in-wassce …",,@JDMahama,,1285127806788276229,https://twitter.com/OfficialNDCGh/status/1285127806788276229
2020-07-16 21:38:07,OfficialNDCGh,,23,142,928,"Your integrity earned you running mate position — @officeofJJR tells @NJOAgyemangpic.twitter.com/HIIw9p8rc6",,@officeofJJR @NJOAgyemangpic,,1283878605018341376,https://twitter.com/OfficialNDCGh/status/1283878605018341376
2020-07-16 13:50:40,OfficialNDCGh,,1,11,52,"@S_OkudzetoAblak: The leadership of the ruling party must be meting out severe sanctions to its national executives, MPs and PCs who are engaged in the most reprehensible and reckless conduct of invading schools to campaign at a time parents cannot visit their children in schoolpic.twitter.com/M7xLdGwqze",,@S_OkudzetoAblak,,1283760967810191361,https://twitter.com/OfficialNDCGh/status/1283760967810191361
2020-07-16 11:59:08,OfficialNDCGh,,4,7,52,"@FelixKwakyeOfo1: Security of tenure has been thrown to the dogs and the decisions and works of such bodies have been tainted with partisanship. No country can survive such a situation and this forms one more basis to throw out Akufo-Addo at the polls in December #KickNanaOut",,@FelixKwakyeOfo1,#KickNanaOut,1283732898739363840,https://twitter.com/OfficialNDCGh/status/1283732898739363840
2020-07-16 11:59:07,OfficialNDCGh,,1,7,55,"@FelixKwakyeOfo1: The object of this is total domination and bending the rules to further his and the NPP’s interests. The effect of this has been that no state institution is now sacred.",,@FelixKwakyeOfo1,,1283732896801607680,https://twitter.com/OfficialNDCGh/status/1283732896801607680
2020-07-16 11:59:07,OfficialNDCGh,,6,5,78,"@FelixKwakyeOfo1: There is no doubt that there is deep mistrust for state institutions because of the deliberate effort by President Akufo-Addo to supplant the heads of such institutions with NPP partisans.",,@FelixKwakyeOfo1,,1283732894817624064,https://twitter.com/OfficialNDCGh/status/1283732894817624064
2020-07-16 07:23:12,OfficialNDCGh,,16,20,126,"""Directionless"" & ""Inept"" Akufo-Addo-Govt Looks On Helplessly As Ghana's Covid-19 Fight Fails - Sammy Gyamfi | Politics | http://Peacefmonline.com https://www.peacefmonline.com/pages/politics/politics/202007/418982.php …",,,,1283663458752503810,https://twitter.com/OfficialNDCGh/status/1283663458752503810
2020-07-15 08:45:15,OfficialNDCGh,,24,56,562,"#RepresentationMatterspic.twitter.com/zAuVAu4JeR",,,#RepresentationMatterspic,1283321720741466113,https://twitter.com/OfficialNDCGh/status/1283321720741466113
2020-07-15 07:30:17,OfficialNDCGh,,17,29,181,"This is unacceptable and must be condemned #KickNanaOutpic.twitter.com/Bi7US0yI1V",,,#KickNanaOutpic,1283302855349276672,https://twitter.com/OfficialNDCGh/status/1283302855349276672
2020-07-15 04:22:00,OfficialNDCGh,,6,22,161,"#RepresentationMatters #ImWithHerpic.twitter.com/GLFkJVbRgD",,,#RepresentationMatters #ImWithHerpic,1283255471386894337,https://twitter.com/OfficialNDCGh/status/1283255471386894337
2020-07-14 21:40:18,OfficialNDCGh,Adomonline,7,9,72,"She wondered how schools are still opened and students are being urged to partake in the ongoing voter registration exercise when she had been denied access to her sick son on three occasions when she attempted to attend to him due to Covid-19 restrictions.https://twitter.com/Adomonline/status/1283151599163060229 …",,,,1283154378967461889,https://twitter.com/OfficialNDCGh/status/1283154378967461889
2020-07-14 20:44:51,OfficialNDCGh,,34,35,206,"After visiting school campuses to campaign for votes and increase the risk of exposure of students to #COVID19, here is an official of the ruling party making a very weak point that the students “brought it [coronavirus] from their various homes”. INCREDIBLE! #KickNanaOutpic.twitter.com/lkEdvXF4gU",,,#COVID19 #KickNanaOutpic,1283140423876317184,https://twitter.com/OfficialNDCGh/status/1283140423876317184
2020-07-13 20:07:41,OfficialNDCGh,,23,40,286,"10 sins of President Akufo-Addo in the matter of #COVID19https://citinewsroom.com/2020/07/ndc-outlines-akufo-addos-10-cardinal-sins-worsening-ghanas-covid-19-situation/ …",,,#COVID19https,1282768684126281729,https://twitter.com/OfficialNDCGh/status/1282768684126281729
2020-07-13 06:50:32,OfficialNDCGh,,7,27,238,"Presserpic.twitter.com/JQyNbeuUMB",,,,1282568074877644801,https://twitter.com/OfficialNDCGh/status/1282568074877644801
2020-07-13 00:04:17,OfficialNDCGh,,4,28,192,"@JDMahama thanks party for supporting his running mate @NJOAgyemangpic.twitter.com/UwlD8skQOq",,@JDMahama @NJOAgyemangpic,,1282465837908099072,https://twitter.com/OfficialNDCGh/status/1282465837908099072
2020-07-12 17:27:25,OfficialNDCGh,,123,181,1960,"Isn’t this beautiful? #RepresentationMatters #ImWithHer #WeAreWithHerpic.twitter.com/QdvvW4yxdY",,,#RepresentationMatters #ImWithHer #WeAreWithHerpic,1282365961950158848,https://twitter.com/OfficialNDCGh/status/1282365961950158848
2020-07-12 08:57:43,OfficialNDCGh,,14,30,180,"More photos of the NPP’s desperate campaign in school at a time when that same party in government has banned parents/ guardians from visiting their children in school #KickNanaOutpic.twitter.com/J0g1OXafkK",,,#KickNanaOutpic,1282237690960846848,https://twitter.com/OfficialNDCGh/status/1282237690960846848
